Status Proposta;ID CONTRATO
Finalizada;2092422
Finalizada;2094661
Aberta;2094167
Finalizada;2092339
Aberta;2094098
Finalizada;2092324
Finalizada;2094089
Finalizada;2092306
Aberta;2093959
Finalizada;2092276
Aberta;2093360
Finalizada;2092254
Aberta;2093067
Aberta;2093061
Aberta;2092455
Aberta;2092160
Aberta;2092419
Finalizada;2092109
Aberta;2092356
Finalizada;2092084
Aberta;2092100
Finalizada;2092057
Aberta;2104153
Finalizada;2091996
Finalizada;2104149
Aberta;2104135
Finalizada;2091966
Finalizada;2104127
Finalizada;2091960
Finalizada;2104099
Finalizada;2091928
Finalizada;2091894
Finalizada;2104069
Finalizada;2104061
Aberta;2104025
Finalizada;2091860
Finalizada;2104017
Aberta;2104010
Finalizada;2091814
Finalizada;2103993
Aberta;2103987
Aberta;2103960
Finalizada;2091781
Aberta;2103938
Finalizada;2091710
Finalizada;2103930
Finalizada;2091694
Finalizada;2091669
Finalizada;2103887
Finalizada;2091665
Finalizada;2091653
Aberta;2103869
Finalizada;2103868
Finalizada;2091641
Finalizada;2103867
Finalizada;2103857
Finalizada;2091635
Finalizada;2103849
Finalizada;2091633
Finalizada;2103839
Finalizada;2091617
Finalizada;2103816
Finalizada;2091616
Finalizada;2091613
Finalizada;2103756
Finalizada;2091602
Finalizada;2103741
Finalizada;2091592
Finalizada;2103680
Finalizada;2103672
Finalizada;2103668
Finalizada;2103659
Finalizada;2103657
Finalizada;2103628
Finalizada;2103618
Aberta;2103593
Finalizada;2103585
Finalizada;2103548
Finalizada;2103521
Finalizada;2103506
Finalizada;2103504
Finalizada;2103487
Finalizada;2103476
Finalizada;2103459
Finalizada;2103457
Finalizada;2103398
Finalizada;2103381
Finalizada;2103376
Finalizada;2103327
Finalizada;2103308
Aberta;2103304
Finalizada;2103249
Finalizada;2103238
Aberta;2103172
Finalizada;2103137
Finalizada;2103132
Finalizada;2103043
Finalizada;2103022
Finalizada;2102921
Finalizada;2102848
Finalizada;2102846
Finalizada;2102823
Finalizada;2102805
Finalizada;2102754
Aberta;2102738
Finalizada;2102588
Finalizada;2102491
Finalizada;2102466
Finalizada;2102436
Finalizada;2102400
Finalizada;2102395
Finalizada;2102345
Finalizada;2102321
Finalizada;2102313
Aberta;2102290
Finalizada;2102269
Finalizada;2102261
Finalizada;2102250
Finalizada;2102215
Aberta;2107648
Aberta;2107157
Aberta;2106921
Aberta;2106643
Aberta;2106038
Aberta;2105293
Aberta;2105162
Finalizada;2107699
Finalizada;2107691
Aberta;2107607
Finalizada;2107557
Aberta;2107525
Aberta;2107509
Aberta;2107437
Finalizada;2107433
Finalizada;2107423
Finalizada;2107412
Finalizada;2107372
Aberta;2107344
Finalizada;2107339
Finalizada;2107239
Finalizada;2107088
Aberta;2106995
Aberta;2106947
Aberta;2106896
Finalizada;2106863
Aberta;2106817
Finalizada;2106790
Aberta;2106702
Finalizada;2106560
Finalizada;2106537
Finalizada;2106464
Aberta;2106462
Finalizada;2106455
Finalizada;2106117
Aberta;2106073
Finalizada;2106066
Aberta;2105886
Aberta;2105751
Finalizada;2105723
Finalizada;2105566
Finalizada;2105343
Finalizada;2105292
Finalizada;2105185
Aberta;2108123
Finalizada;2108121
Aberta;2108119
Finalizada;2108114
Aberta;2108112
Aberta;2108111
Aberta;2108110
Aberta;2108093
Aberta;2108011
Aberta;2107952
Aberta;2107924
Aberta;2107891
Finalizada;2107833
Aberta;2107828
Aberta;2107806
Aberta;2107801
Aberta;2107793
Aberta;2107782
Aberta;2107754
Aberta;2107727
Aberta;2107710
Aberta;2110507
Aberta;2110406
Aberta;2110125
Aberta;2109309
Aberta;2109168
Aberta;2108255
Aberta;2110505
Aberta;2110418
Aberta;2110395
Finalizada;2110393
Finalizada;2110384
Aberta;2110379
Aberta;2110372
Aberta;2110367
Finalizada;2110366
Finalizada;2110331
Finalizada;2110322
Aberta;2110321
Aberta;2110316
Aberta;2110300
Finalizada;2110180
Finalizada;2110161
Finalizada;2110146
Finalizada;2110116
Finalizada;2110048
Finalizada;2110038
Finalizada;2110033
Finalizada;2110007
Finalizada;2109886
Finalizada;2109804
Finalizada;2109764
Finalizada;2109754
Finalizada;2109751
Finalizada;2109726
Finalizada;2109681
Finalizada;2109638
Finalizada;2109630
Finalizada;2109596
Finalizada;2109516
Finalizada;2109495
Finalizada;2109375
Finalizada;2109354
Finalizada;2109335
Finalizada;2109327
Finalizada;2109229
Finalizada;2109079
Finalizada;2109017
Finalizada;2108968
Finalizada;2108806
Finalizada;2108779
Finalizada;2108713
Finalizada;2108683
Finalizada;2108583
Finalizada;2108534
Finalizada;2108473
Finalizada;2108276
Finalizada;2108210
Finalizada;2093960
Finalizada;2108208
Finalizada;2108131
Finalizada;2108048
Finalizada;2107935
Finalizada;2107750
Finalizada;2107745
Aberta;2110730
Aberta;2110855
Aberta;2110843
Aberta;2110825
Aberta;2110810
Aberta;2110785
Aberta;2110755
Finalizada;2093531
Aberta;2110747
Aberta;2110677
Aberta;2110592
Finalizada;2093448
Aberta;2110584
Aberta;2110554
Aberta;2110546
Aberta;2110542
Aberta;2110540
Aberta;2110536
Aberta;2110531
Aberta;2110527
Aberta;2110522
Aberta;2112171
Aberta;2111417
Aberta;2111374
Aberta;2112041
Aberta;2111926
Aberta;2111906
Aberta;2111892
Aberta;2111886
Aberta;2111768
Aberta;2111755
Aberta;2111736
Aberta;2111694
Aberta;2111689
Aberta;2111667
Aberta;2111542
Aberta;2111525
Aberta;2111521
Aberta;2111480
Aberta;2111356
Aberta;2111344
Aberta;2111333
Aberta;2110977
Aberta;2110898
Aberta;2110526
Aberta;2112322
Aberta;2112302
Aberta;2112298
Aberta;2112211
Aberta;2112166
Finalizada;2112160
Aberta;2112113
Aberta;2112036
Finalizada;2111992
Aberta;2111963
Finalizada;2111948
Aberta;2111920
Finalizada;2091736
Finalizada;2111884
Finalizada;2111844
Finalizada;2091645
Finalizada;2111827
Finalizada;2111780
Finalizada;2111746
Finalizada;2111727
Finalizada;2111722
Finalizada;2111547
Finalizada;2111526
Finalizada;2111421
Finalizada;2111383
Finalizada;2111343
Finalizada;2111320
Finalizada;2111256
Aberta;2111254
Aberta;2111225
Finalizada;2111218
Finalizada;2110991
Finalizada;2110881
Finalizada;2110870
Finalizada;2110869
Aberta;2113628
Aberta;2113556
Aberta;2113260
Aberta;2113187
Finalizada;2113585
Aberta;2113197
Aberta;2113056
Finalizada;2113007
Aberta;2114447
Finalizada;2114446
Aberta;2114444
Aberta;2114441
Finalizada;2114436
Aberta;2092395
Aberta;2114423
Finalizada;2114419
Finalizada;2114379
Finalizada;2114351
Finalizada;2114331
Finalizada;2114306
Finalizada;2114297
Finalizada;2114289
Finalizada;2114284
Finalizada;2114238
Aberta;2114228
Finalizada;2114200
Finalizada;2114171
Finalizada;2114149
Finalizada;2114095
Finalizada;2114094
Aberta;2114064
Aberta;2114031
Finalizada;2113988
Finalizada;2113978
Finalizada;2113926
Finalizada;2113879
Aberta;2113866
Finalizada;2113843
Finalizada;2113766
Finalizada;2113756
Finalizada;2113716
Finalizada;2113704
Aberta;2113647
Finalizada;2113642
Finalizada;2113596
Aberta;2113525
Finalizada;2113493
Finalizada;2113463
Finalizada;2113424
Finalizada;2113380
Finalizada;2113333
Finalizada;2113275
Finalizada;2113255
Finalizada;2113253
Aberta;2113201
Finalizada;2113136
Aberta;2113096
Finalizada;2113093
Finalizada;2113053
Finalizada;2113034
Finalizada;2113029
Finalizada;2113010
Aberta;2115394
Aberta;2116062
Finalizada;2116057
Finalizada;2116049
Finalizada;2116006
Aberta;2115987
Finalizada;2115973
Aberta;2115950
Aberta;2115948
Finalizada;2115926
Aberta;2115924
Aberta;2115905
Finalizada;2116120
Finalizada;2116117
Finalizada;2116105
Finalizada;2116104
Finalizada;2116102
Finalizada;2116101
Finalizada;2116099
Finalizada;2116079
Finalizada;2116044
Finalizada;2116014
Finalizada;2116012
Finalizada;2116009
